المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37332788
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334102
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37334512
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37337803
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37339658
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37340097
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37347954
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,37351649
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37353291
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37353859
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37354019
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37354954
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37355288
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37356205
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37356439
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37361743
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,37365882
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37366979
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37367055
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37367228
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37367518
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,37369779
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37372270
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37373506
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37373936
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37374224
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37374832
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37376192
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37376686
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37377116
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37377857
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37378169
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37378254
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37379418
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37380263
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37380671
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,37381399
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37383693
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37384306
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37385636
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37385728
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37387112
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37387929
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37389303
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37389407
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37389652
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37389974
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37391032
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37392037
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37392139
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37392244
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37392682
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37393982
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37394085
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37394288
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37396371
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37397895
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,37400855
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37402597
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37402789
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37403265
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37403437
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37403611
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37410138
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37417580
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37419080
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37419521
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37419905
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,37420842
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37423642
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37424044
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37424170
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37426487
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37427094
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37428050
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37428124
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37429247
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37429361
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37429492
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37431104
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37431625
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37433725
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37433950
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37434249
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,37438076
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37440873
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37443420
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37443603
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37444078
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37445490
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37446182
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37449224
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37450241
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37450455
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37452590
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37453897
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37454490
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37455930
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,37458402
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37461240
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37461462
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37464016
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37468669
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37468896
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37469282
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37470693
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37472073
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,37472373
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/10,37472958
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/10,37475758
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,37477682
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,37478778
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,37480185
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,37484015
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,37484781
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,37485824
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37490064
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37490259
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37490495
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37491064
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37492050
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37499525
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37500268
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37501723
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37505137
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37506585
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37507245
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,37507478
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37508271
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37508631
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37510094
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37510236
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37515266
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37518476
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37521297
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37521451
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37524075
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37526279
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37526486
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37528639
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,37529743
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37531480
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37534182
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37535092
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37535403
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37541090
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37542477
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37546231
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37546235
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37546713
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37547237
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37549912
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37550012
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,37552869
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37553481
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37553599
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37554457
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37557038
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37557788
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37562788
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37562834
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37563265
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37567128
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37569722
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,37572077
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37574247
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37578092
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37578583
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37579062
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37580378
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37580776
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37584999
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37585295
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,37585503
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/17,37596557
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/17,37591300
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/17,37591347
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/17,37591512
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/17,37592184
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/17,37596625
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/18,37599036
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/18,37601398
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/18,37601423
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/18,37601461
